,id,title,x_pos,y_pos,shape,creator,num,comment,timestamp,modifiable,CAM
0, ,Geschlossene Grenzen,1021.0,25.99609375,negative strong,6,22.0,,,1,346
1, ,Gedankenkreisen,671.69140625,267.70703125,negative strong,6,21.0,,,1,346
2, ,Natur,1010.234375,331.97265625,positive strong,6,20.0,,17:35:34,1,346
3, ,was darf ich ?,616.99609375,26.0000019073486,positive,6,19.0,,,1,346
4, ,Regeln,26.0000019073486,25.0,positive,6,18.0,,,1,346
5, ,"""erzwungene Entspannung""",678.96484375,619.99609375,positive,6,17.0,,17:35:45,1,346
6, ,Unwissenheit,235.0,195.0,neutral,6,16.0,,,1,346
7, ,Depressivität,567.984375,338.984375,negative weak,6,9.0,,17:09:28,0,346
8, ,soziale Isolierung,801.98828125,185.9765625,negative weak,6,3.0,,17:37:33,0,346
9, ,physische Isolierung,505.953125,207.96484375,negative weak,6,2.0,,17:37:40,0,346
10, ,Zusammenhalt,755.0,488.0,positive weak,6,8.0,,17:31:33,0,346
11, ,Corona-Pandemie,149.98046875,56.96875,negative,6,1.0,,17:21:18,0,346
12, ,Angst,309.98046875,367.96484375,negative strong,6,7.0,,17:23:07,0,346
13, ,Einsamkeit,810.97265625,26.9921875,negative strong,6,10.0,,17:37:17,0,346
14, ,Stress,173.96484375,584.9453125,negative weak,6,6.0,,17:31:23,0,346
15, ,psychische Belastung,413.96484375,541.9765625,negative weak,6,5.0,,17:31:31,0,346
16, ,Befinden,319.0,57.984375,ambivalent,6,4.0,,17:19:26,0,346
17, ,wirtschaftliche Folgen,26.0000019073486,394.9765625,negative weak,6,11.0,,17:31:17,0,346
